"template","distribution_method","description"
"PT_WHITE_1","NOT_SPECIFIED","WHITE 100шт №1"
"PT_BLACK_1","NOT_SPECIFIED","BLACK 100шт №1"
"PT_WHITE_1","NOT_SPECIFIED","WHITE 100шт №2"
"PT_BLACK_1","NOT_SPECIFIED","BLACK 100шт №2"
"PT_WHITE_1","NOT_SPECIFIED","WHITE 100шт №3"
"PT_BLACK_1","NOT_SPECIFIED","BLACK 100шт №3"
"PT_WHITE_1","NOT_SPECIFIED","WHITE 100шт №4"
"PT_BLACK_1","NOT_SPECIFIED","BLACK 100шт №4"
"PT_WHITE_1","NOT_SPECIFIED","WHITE 100шт №5"
"PT_BLACK_1","NOT_SPECIFIED","BLACK 100шт №5"
